step,time,mode,p_pv_kw,p_load_kw,p_ev_kw,batt_state,batt_kw,soc_batt_pct,sc_state,sc_kw,soc_sc_pct,grid_kw,export_kw,net_grid_kw,peak_shave_kw,ev_alert,evening,voltage_violation,transformer_loading_pct,self_sufficiency_pct,bess_charged_kwh_cum,bess_discharged_kwh_cum,ev_energy_kwh_cum,pv_total_kwh_cum,grid_import_kwh_cum,co2_saved_kg_step,co2_saved_kg_cum,v_mainbus_pu,v_panelbus_pu,v_mechworkshopbus_pu,v_hostelfbus_pu,v_guesthousebus_pu,v_auditoriumbus_pu,v_librarybus_pu,v_civildeptbus_pu,v_mechdeptbus_pu,v_elecdeptbus_pu,v_ltdbus_pu,v_hostelcbus_pu,v_hosteldbus_pu,v_gymbus_pu,v_evbus_pu,v_lecturetheatrebus_pu,v_adminbus_pu,v_pumphousebus_pu,v_securitybus_pu,v_uppercanteenbus_pu,v_lowercanteenbus_pu,v_boyshostelbbus_pu,v_hostelblockbus_pu
3,00:45,NORMAL,0.0,76.27,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,76.27,0.0,76.27,0.0,,,,7.63,0.0,0.0,0.0,0.0,0.0,80.51,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
4,01:00,NORMAL,0.0,75.93,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,75.93,0.0,75.93,0.0,,,,7.59,0.0,0.0,0.0,0.0,0.0,99.5,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
5,01:15,NORMAL,0.0,78.08,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,78.08,0.0,78.08,0.0,,,,7.81,0.0,0.0,0.0,0.0,0.0,119.02,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
6,01:30,NORMAL,0.0,78.4,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,78.4,0.0,78.4,0.0,,,,7.84,0.0,0.0,0.0,0.0,0.0,138.62,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
7,01:45,NORMAL,0.0,77.68,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,77.68,0.0,77.68,0.0,,,,7.77,0.0,0.0,0.0,0.0,0.0,158.04,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
8,02:00,NORMAL,0.0,73.79,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,73.79,0.0,73.79,0.0,,,,7.38,0.0,0.0,0.0,0.0,0.0,176.48,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
9,02:15,NORMAL,0.0,73.8,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,73.8,0.0,73.8,0.0,,,,7.38,0.0,0.0,0.0,0.0,0.0,194.93,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
10,02:30,NORMAL,0.0,72.54,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,72.54,0.0,72.54,0.0,,,,7.25,0.0,0.0,0.0,0.0,0.0,213.07,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
11,02:45,NORMAL,0.0,75.08,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,75.08,0.0,75.08,0.0,,,,7.51,0.0,0.0,0.0,0.0,0.0,231.84,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
12,03:00,NORMAL,0.0,74.08,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,74.08,0.0,74.08,0.0,,,,7.41,0.0,0.0,0.0,0.0,0.0,250.36,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
13,03:15,NORMAL,0.0,75.3,0.0,IDLING,0.0,23.0,IDLING,-0.0,15.0,75.3,0.0,75.3,0.0,,,,7.53,0.0,0.0,0.0,0.0,0.0,269.18,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9996,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999,1.0,1.0,1.0,1.0
